#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,
cleanse_person;Cleanse Weakness;;;;;;;;;;;;;x,,,
cleanse_person_desc;This person is sickly and weak. I could appeal the priesthood for a healing ritual on them, but it would take a sizable display of piety to the gods.;;;;;;;;;;;;;x,,
hellenic_leader;Aeneator;Aeneator;Aeneator;;Aeneator;;;;;;;;;x,,,
hellenic_leader_desc;This character is a source of morale for [GetHerHis] troops, bringing them singing into battle.;Ce personnage est une source de moral pour ses troupes, les amenant à chanter au combat.;Dieser Charakter ist eine Quelle der Moral für [GetHerHis]e Truppen und bringt sie singend in den Kampf.;;Este personaje es una fuente de moral para sus tropas, a las que lleva a la batalla cantando.;;;;;;;;;x
invictus_startup;Appeal To The Gods;;;;;;;;;;;;;x,,,
invictus_startup_desc;Activate Invictus perks and choose startup options.;;;;;;;;;;;;;x,,,
invictus_events.1;Activate Divine Favor?;;;;;;;;;;;;;x,,,
EVTDESCinvictus_events1;Since you’ve elected to choose the Invictus trait, you’ll be given certain benefits beyond the overt modifiers of the trait itself. Namely this deals with negating the effects of inbreeding while a Hellenic faithful and allowing you to convert your capital province to your culture and religion at the start of the game. These options and some starting cash can be accepted by clicking the below Accept button or opted out of by clicking Decline.;;;;;;;;;;;;;x,,,
EVTOPTAinvictus_events1;I accept, grant me your boon!;;;;;;;;;;;;;x,,,
EVTOPTAinvictus_events1_TT;Your character will receive starting gold, a county conversion, and inbreeding protection.;;;;;;;;;;;;;x,,,
EVTOPTBinvictus_events1;I'll decline, the stat buffs are enough.;;;;;;;;;;;;;x,,,
EVTOPTBinvictus_events1_TT;Opt out of the starting gold, inbreeding protection and starting county conversion.;;;;;;;;;;;;;x,,,
invictus_events.3;The Lustratio;;;;;;;;;;;;;x,,,
EVTDESCinvictus_events3;Approaching the priesthood about my concerns, I’ve acquired their blessing to lead them in a lustration for my dear [ROOT_FROM.GetFirstName]. Thus, I find myself walking at the head of a procession of cloaked priests and a sacrificial bull in tow up the broad streets leading to the temple. Curious onlookers crane their necks to watch the commotion and some begin to follow us at a distance. By the time we arrive at the altar the priests have prepared, a sizable crowd has arrived with us and mills around in a curious murmur. The head priest intones a lamenting prayer to the gods while pressing his thumb forcefully into [ROOT_FROM.GetFirstName]’s forehead. With a nod to his assistants and the quick flash of a knife, the bull is brought down and bleeds out onto the pavement. Immediately, [ROOT_FROM.GetFirstName]’s frail body seizures violently.\n
A cry of wonder goes up from the crowd as [ROOT_FROM.GetSheHe] rises to [ROOT_FROM.GetHerHis] feet on their own accord. But I barely notice, for I am too busy embracing [ROOT_FROM.GetHerHim].;;;;;;;;;;;;;x,,,
EVTOPTAinvictus_events3;Thank you so much for this.;;;;;;;;;;;;;x,,,
